base_name,perc_artificial
img_00583_2019,4.08
img_00592_2019,0.00
img_00593_2019,0.00
img_00584_2019,0.00
img_00580_2019,0.57
img_00594_2019,0.08
img_00595_2019,0.89
img_00473_p07_2019,0.00
img_00473_p04_2019,1.62
img_00528_p04_2019,0.05
img_00602_2019,0.00
img_00544_p02_2019,4.33
img_00599_2019,3.87
img_00604_2019,0.00
img_00581_p01_2019,4.14
img_00601_2019,9.95
img_00600_2019,0.00
img_00528_p02_2019,0.00
img_00528_p03_2019,1.17
img_00591_2019,0.23
img_00567_2019,1.78
img_00603_2019,0.00
img_00544_p01_2019,4.86
img_00606_2019,6.53
img_00605_2019,4.14
img_00542_p01_2019,0.00
img_00542_p04_2019,0.00
img_00608_2019,1.39
img_00611_2019,4.27
img_00607_2019,0.32
img_00610_2019,0.04
img_00544_p03_2019,3.73
img_00612_2019,4.15
img_00614_2019,4.07
img_00542_p03_2019,0.01
img_00581_p02_2019,6.87
img_00616_2019,4.12
img_00624_2019,0.00
img_00618_2019,6.59
img_00544_p04_2019,3.93
img_00620_2019,7.64
img_00628_2019,0.00
img_00625_2019,0.00
img_00630_2019,0.00
img_00615_2019,4.17
img_00621_2019,0.52
img_00619_2019,7.69
img_00627_2019,0.19
img_00609_2019,0.11
img_00598_2019,8.73
img_00623_2019,4.06
img_00613_2019,5.25
img_00512_p01_2019,5.65
img_00629_2019,3.67
img_00512_p07_2019,0.95
img_00512_p09_2019,3.88
img_00631_2019,0.00
img_00542_p02_2019,1.01
img_00512_p02_2019,8.56
img_00512_p03_2019,9.71
img_00632_2019,0.00
img_00459_p01_2019,4.53
img_00512_p06_2019,9.11
img_00459_p04_2019,8.28
img_00512_p08_2019,2.18
img_00622_2019,0.00
img_00512_p04_2019,2.43
img_00459_p03_2019,4.19
img_00634_2019,0.00
img_00638_2019,5.92
img_00643_2019,0.00
img_00641_2019,0.00
img_00512_p05_2019,4.70
img_00642_2019,2.36
img_00640_2019,0.00
img_00459_p11_2019,6.79
img_00646_2019,0.00
img_00459_p02_2019,5.81
img_00459_p05_2019,6.37
img_00647_2019,0.00
img_00636_2019,0.01
img_00459_p09_2019,4.57
img_00459_p08_2019,5.37
img_00633_2019,0.03
img_00650_2019,0.00
img_00645_2019,0.00
img_00651_2019,0.00
img_00649_2019,0.39
img_00653_2019,0.00
img_00656_2019,0.00
img_00459_p07_2019,4.97
img_00459_p06_2019,4.78
img_00637_p02_2019,0.00
img_00637_p01_2019,0.00
img_00459_p10_2019,4.88
img_00635_p02_2019,0.00
img_00626_p02_2019,1.95
img_00657_2019,0.00
img_00659_2019,0.00
img_00658_2019,0.00
img_00661_2019,0.00
img_00654_2019,0.00
img_00662_2019,0.00
img_00635_p01_2019,0.00
img_00587_p01_2019,0.00
img_00587_p06_2019,0.00
img_00665_2019,0.00
img_00660_2019,0.00
img_00587_p05_2019,0.00
img_00588_p02_2019,4.54
img_00626_p01_2019,3.71
img_00652_2019,0.00
img_00663_2019,0.00
img_00587_p04_2019,0.00
